gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),Average_Tensile_Strength,STD_Tensile_Strength,Average_Young's_Modulus,STD_Young's_Modulus,Self-renewal(discrete),Ectoderm(discrete),Mesoderm(discrete),Endoderm(discrete),Self-renewal,Ectoderm,Mesoderm,Endoderm
0.1,LAP,0.005,50,1500,27,2,60.3716,4.906,77.8502,4.9546,,NEGATIVE,NEGATIVE,NEGATIVE,-0.82,-0.56,0.37,-0.3
0.1,LAP,0.005,70,1500,27,2,133.8044,10.1158,113.8753,9.5289,,NEGATIVE,POSITIVE,NEGATIVE,-0.85,-0.32,0.96,-0.13
0.1,LAP,0.005,90,1500,27,2,159.1536,13.3752,146.0035,9.7616,,POSITIVE,POSITIVE,POSITIVE,-1.89,1.37,3.74,0.7
0.125,LAP,0.005,30,1500,27,2,85.1303,7.0198,154.2658,8.9653,,POSITIVE,POSITIVE,NEGATIVE,-2.58,1.12,4.03,0.23
0.125,LAP,0.005,50,1500,27,2,123.3853,11.903,187.9346,8.8928,,NEGATIVE,POSITIVE,NEGATIVE,-1.3,-0.41,1.42,-0.51
0.125,LAP,0.005,70,1500,27,2,173.915,15.8976,266.4048,26.5848,,NEGATIVE,POSITIVE,NEGATIVE,-1.09,-0.44,1.14,-0.61
0.125,LAP,0.005,90,1500,27,2,192.245,19.3503,303.5128,18.7807,,BORDERLINE,POSITIVE,NEGATIVE,-4.11,0.56,4.29,0.13
0.15,LAP,0.005,30,1500,27,2,115.8848,13.7815,299.7708,20.1552,,NEGATIVE,POSITIVE,POSITIVE,-1.59,0.41,4.24,0.52
0.15,LAP,0.005,50,1500,27,2,169.9112,8.7297,311.0333,16.9558,,NEGATIVE,POSITIVE,NEGATIVE,-4.03,0.07,3.68,-0.25
0.15,LAP,0.005,70,1500,27,2,203.6924,10.2669,334.2614,16.2257,,NEGATIVE,POSITIVE,NEGATIVE,-3.9,0.07,3.7,-0.32
0.15,LAP,0.005,90,1500,27,2,229.9144,17.102,361.3154,11.95,,NEGATIVE,POSITIVE,POSITIVE,-2.17,0.23,4.37,0.7
0.175,LAP,0.005,30,1500,27,2,215.1046,13.5266,316.9759,14.5283,,NEGATIVE,POSITIVE,BORDERLINE,-2.47,0.15,3.52,0.4
0.175,LAP,0.005,50,1500,27,2,335.9755,22.5258,348.3154,19.65,,NEGATIVE,POSITIVE,NEGATIVE,-3.29,0.14,3.22,-0.6
0.175,LAP,0.005,70,1500,27,2,426.0446,18.1072,408.7987,15.362,,NEGATIVE,POSITIVE,NEGATIVE,-3.03,-0.03,3,-0.59
0.175,LAP,0.005,90,1500,27,2,515.7863,17.3299,580.1232,17.3019,,NEGATIVE,POSITIVE,NEGATIVE,-2.5,0.13,3.02,-0.01
